score,hotness,uniqueness,log
0.10185218196104016,0.13060672764393982,0.7798387096774193,"2023-04-26 22:55:58,573 WARN org.apache.hadoop.security.ssl.FileBasedKeyStoresFactory: The property 'ssl.client.truststore.location' has not been set, no TrustStore will be loaded"
0.0963886694181547,0.13155579388184668,0.732682815207087,"23/04/26 22:54:59 INFO jvm.JvmMetrics: Initializing JVM Metrics with processName=JobTracker, sessionId="
0.08008714103776916,0.11597393953047196,0.6905615292712067,"2023-04-26 22:55:57,513 WARN org.apache.hadoop.util.JvmPauseMonitor: Detected pause in JVM or host machine (eg GC): pause of approximately 29526ms"
0.07331801809630935,0.13155579388184668,0.5573150063018735,23/04/26 22:54:59 INFO mapred.LocalDistributedCacheManager: Creating symlink: /tmp/hadoop-jjwong0915/mapred/local/1682549699665/_partition.lst <- /home/jjwong0915/perf-dx/reproduce/automated/HADOOP-11252/_partition.lst
0.06817228346467623,0.13155579388184668,0.5182005402658536,"23/04/26 22:54:59 INFO Configuration.deprecation: session.id is deprecated. Instead, use dfs.metrics.session-id"
0.066910254354485,0.11597393953047196,0.5769421529127623,"2023-04-26 22:55:57,565 INFO org.apache.hadoop.hdfs.server.namenode.FileJournalManager: Finalizing edits file /tmp/hadoop-jjwong0915/dfs/name/current/edits_inprogress_0000000000000000001 -> /tmp/hadoop-jjwong0915/dfs/name/current/edits_0000000000000000001-0000000000000000043"
0.060348117149993996,0.13161813850518492,0.45850912218771933,"2023-04-26 22:55:59,088 INFO org.apache.hadoop.hdfs.server.namenode.NNStorageRetentionManager: Going to retain 2 images with txid >= 0"
0.05935664444124352,0.13155579388184668,0.4511898920586736,23/04/26 22:54:59 INFO mapred.LocalJobRunner: OutputCommitter set in config null
0.05595511702830645,0.13155579388184668,0.42533373390275037,23/04/26 22:54:59 INFO mapreduce.JobSubmitter: number of splits:8
0.053012024155109895,0.13068704534401016,0.40564100302034733,23/04/26 22:55:00 INFO mapreduce.Job: Job job_local1301657044_0001 running in uber mode : false
0.050946821542480786,0.13161813850518492,0.3870805507591479,"2023-04-26 22:55:59,076 INFO org.apache.hadoop.hdfs.server.namenode.TransferFsImage: Downloaded file fsimage.ckpt_0000000000000000043 size 925 bytes."
0.047057649216174446,0.13155579388184668,0.35770107744884283,23/04/26 22:54:59 INFO mapreduce.Job: The url to track the job: http://localhost:8080/
0.046147512315704235,0.13161813850518492,0.35061666150130455,"2023-04-26 22:55:59,075 INFO org.apache.hadoop.hdfs.server.namenode.TransferFsImage: Transfer took 0.00s at 0.00 KB/s"
0.0436227433813539,0.13068697220757408,0.3337956541840037,23/04/26 22:54:58 INFO input.FileInputFormat: Total input paths to process : 1
0.04359050297106082,0.13155579388184668,0.33134612839789074,23/04/26 22:54:59 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_local1301657044_0001
0.03795434675280833,0.13155579388184668,0.2885038023250881,23/04/26 22:54:59 INFO mapred.LocalDistributedCacheManager: Localized hdfs://localhost:9000/output/_partition.lst as file:/tmp/hadoop-jjwong0915/mapred/local/1682549699665/_partition.lst
0.035191808076805664,0.11597393953047196,0.3034458277375244,"2023-04-26 22:55:57,557 INFO org.apache.hadoop.hdfs.server.namenode.FSNamesystem: Roll Edit Log from 127.0.0.1"
0.03171377592900325,0.11597393953047196,0.27345605450154176,"2023-04-26 22:55:57,557 INFO org.apache.hadoop.hdfs.server.namenode.FSEditLog: Rolling edit logs"
0.03158570548430131,0.11597393953047196,0.27235175085176977,"2023-04-26 22:55:57,557 INFO org.apache.hadoop.hdfs.server.namenode.FSEditLog: Number of transactions: 43 Total time for transactions(ms): 18 Number of transactions batched in Syncs: 0 Number of syncs: 21 SyncTimes(ms): 572"
0.03158570548430131,0.11597393953047196,0.27235175085176977,"2023-04-26 22:55:57,562 INFO org.apache.hadoop.hdfs.server.namenode.FSEditLog: Number of transactions: 43 Total time for transactions(ms): 18 Number of transactions batched in Syncs: 0 Number of syncs: 22 SyncTimes(ms): 577"
0.027460212108107535,0.11597393953047196,0.23677916107085772,"2023-04-26 22:55:57,574 INFO org.apache.hadoop.hdfs.server.namenode.FSEditLog: Starting log segment at 44"
0.025946248357162704,0.13155579388184668,0.19722619271687594,23/04/26 22:54:59 WARN conf.Configuration: file:/tmp/hadoop-jjwong0915/mapred/staging/jjwong09151301657044/.staging/job_local1301657044_0001/job.xml:an attempt to override final parameter: mapreduce.job.end-notification.max.retry.interval;  Ignoring.
0.025946248357162704,0.13155579388184668,0.19722619271687594,23/04/26 22:54:59 WARN conf.Configuration: file:/tmp/hadoop-jjwong0915/mapred/local/localRunner/jjwong0915/job_local1301657044_0001/job_local1301657044_0001.xml:an attempt to override final parameter: mapreduce.job.end-notification.max.retry.interval;  Ignoring.
0.0258763209099248,0.13155579388184668,0.19669465058426028,23/04/26 22:54:59 INFO mapred.LocalJobRunner: OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter
0.024685052321095857,0.11597393953047196,0.21284999389548115,"2023-04-26 22:55:57,557 INFO org.apache.hadoop.hdfs.server.namenode.FSEditLog: Ending log segment 1"
0.02434226954459668,0.13068697220757408,0.18626393383674936,23/04/26 22:54:58 INFO terasort.TeraSort: starting
0.024286596332839343,0.13155579388184668,0.18461061741341245,23/04/26 22:54:59 WARN conf.Configuration: file:/tmp/hadoop-jjwong0915/mapred/staging/jjwong09151301657044/.staging/job_local1301657044_0001/job.xml:an attempt to override final parameter: mapreduce.job.end-notification.max.attempts;  Ignoring.
0.024286596332839343,0.13155579388184668,0.18461061741341245,23/04/26 22:54:59 WARN conf.Configuration: file:/tmp/hadoop-jjwong0915/mapred/local/localRunner/jjwong0915/job_local1301657044_0001/job_local1301657044_0001.xml:an attempt to override final parameter: mapreduce.job.end-notification.max.attempts;  Ignoring.
0.021063117973252565,0.13155579388184668,0.1601078702179384,23/04/26 22:54:59 INFO mapred.LocalJobRunner: Waiting for map tasks
0.0181542503763858,0.11597393953047196,0.1565373259706833,"2023-04-26 22:55:57,509 INFO org.apache.hadoop.hdfs.server.blockmanagement.CacheReplicationMonitor: Scanned 0 directive(s) and 0 block(s) in 1 millisecond(s)."
0.016346430222623907,0.11597393953047196,0.14094916744920016,"2023-04-26 22:55:57,508 INFO org.apache.hadoop.hdfs.server.blockmanagement.CacheReplicationMonitor: Rescanning after 58508 milliseconds"
0.014929890636261196,0.13155579388184668,0.11348713876995853,23/04/26 22:54:59 INFO mapreduce.Job: Running job: job_local1301657044_0001
0.009307012953927997,0.13155579388184668,0.07074574733125659,23/04/26 22:54:59 INFO mapred.MapTask: Processing split: hdfs://localhost:9000/input/part-m-00000:0+134217728
0.009286402496718828,0.13155596767433497,0.07058898703635545,"23/04/26 22:55:03 WARN util.Progress: Illegal progress value found, progress is larger than 1. Progress will be changed to 1"
0.009286402496718828,0.13155596767433497,0.07058898703635545,"23/04/26 22:55:03 WARN util.Progress: Illegal progress value found, progress is larger than 1. Progress will be changed to 1"
0.008365059703413133,0.1185037504377967,0.07058898703635545,"23/04/26 22:56:00 WARN util.Progress: Illegal progress value found, progress is larger than 1. Progress will be changed to 1"
0.008365059703413133,0.1185037504377967,0.07058898703635545,"23/04/26 22:56:00 WARN util.Progress: Illegal progress value found, progress is larger than 1. Progress will be changed to 1"
0.008365053009618357,0.11850365561004726,0.07058898703635545,"23/04/26 22:55:09 WARN util.Progress: Illegal progress value found, progress is larger than 1. Progress will be changed to 1"
