2023-04-27 06:10:22,856 INFO org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /127.0.0.1:50010, dest: /127.0.0.1:44624, bytes: 135266304, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-1975804419_1, offset: 0, srvID: 16ce281d-d824-46ac-bacd-0b30090057ef, blockid: BP-2038422651-10.142.0.8-1682575742665:blk_1073741825_1001, duration: 903347935
2023-04-27 06:10:23,576 INFO org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /127.0.0.1:50010, dest: /127.0.0.1:44624, bytes: 135266304, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-1975804419_1, offset: 0, srvID: 16ce281d-d824-46ac-bacd-0b30090057ef, blockid: BP-2038422651-10.142.0.8-1682575742665:blk_1073741826_1002, duration: 705526537
2023-04-27 06:10:24,393 INFO org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /127.0.0.1:50010, dest: /127.0.0.1:44624, bytes: 135266304, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-1975804419_1, offset: 0, srvID: 16ce281d-d824-46ac-bacd-0b30090057ef, blockid: BP-2038422651-10.142.0.8-1682575742665:blk_1073741827_1003, duration: 813723682
2023-04-27 06:10:25,210 INFO org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /127.0.0.1:50010, dest: /127.0.0.1:44624, bytes: 135266304, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-1975804419_1, offset: 0, srvID: 16ce281d-d824-46ac-bacd-0b30090057ef, blockid: BP-2038422651-10.142.0.8-1682575742665:blk_1073741828_1004, duration: 812869220
2023-04-27 06:10:26,026 INFO org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /127.0.0.1:50010, dest: /127.0.0.1:44624, bytes: 135266304, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-1975804419_1, offset: 0, srvID: 16ce281d-d824-46ac-bacd-0b30090057ef, blockid: BP-2038422651-10.142.0.8-1682575742665:blk_1073741829_1005, duration: 813328986
2023-04-27 06:10:26,844 INFO org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /127.0.0.1:50010, dest: /127.0.0.1:44624, bytes: 135266304, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-1975804419_1, offset: 0, srvID: 16ce281d-d824-46ac-bacd-0b30090057ef, blockid: BP-2038422651-10.142.0.8-1682575742665:blk_1073741830_1006, duration: 814923872
2023-04-27 06:10:27,661 INFO org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /127.0.0.1:50010, dest: /127.0.0.1:44624, bytes: 135266304, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-1975804419_1, offset: 0, srvID: 16ce281d-d824-46ac-bacd-0b30090057ef, blockid: BP-2038422651-10.142.0.8-1682575742665:blk_1073741831_1007, duration: 813995558
2023-04-27 06:10:28,478 INFO org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /127.0.0.1:50010, dest: /127.0.0.1:44624, bytes: 135266304, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-1975804419_1, offset: 0, srvID: 16ce281d-d824-46ac-bacd-0b30090057ef, blockid: BP-2038422651-10.142.0.8-1682575742665:blk_1073741832_1008, duration: 814003659
2023-04-27 06:10:28,898 INFO org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /127.0.0.1:50010, dest: /127.0.0.1:44624, bytes: 135266304, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-1975804419_1, offset: 0, srvID: 16ce281d-d824-46ac-bacd-0b30090057ef, blockid: BP-2038422651-10.142.0.8-1682575742665:blk_1073741833_1009, duration: 417401957
2023-04-27 06:10:29,339 INFO org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /127.0.0.1:50010, dest: /127.0.0.1:44624, bytes: 135266304, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-1975804419_1, offset: 0, srvID: 16ce281d-d824-46ac-bacd-0b30090057ef, blockid: BP-2038422651-10.142.0.8-1682575742665:blk_1073741834_1010, duration: 413022893
2023-04-27 06:10:29,769 INFO org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /127.0.0.1:50010, dest: /127.0.0.1:44624, bytes: 135266304, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-1975804419_1, offset: 0, srvID: 16ce281d-d824-46ac-bacd-0b30090057ef, blockid: BP-2038422651-10.142.0.8-1682575742665:blk_1073741835_1011, duration: 399063052
2023-04-27 06:10:30,199 INFO org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /127.0.0.1:50010, dest: /127.0.0.1:44624, bytes: 135266304, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-1975804419_1, offset: 0, srvID: 16ce281d-d824-46ac-bacd-0b30090057ef, blockid: BP-2038422651-10.142.0.8-1682575742665:blk_1073741836_1012, duration: 402045314
2023-04-27 06:10:30,629 INFO org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /127.0.0.1:50010, dest: /127.0.0.1:44624, bytes: 135266304, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-1975804419_1, offset: 0, srvID: 16ce281d-d824-46ac-bacd-0b30090057ef, blockid: BP-2038422651-10.142.0.8-1682575742665:blk_1073741837_1013, duration: 402023432
2023-04-27 06:10:31,143 INFO org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /127.0.0.1:50010, dest: /127.0.0.1:44624, bytes: 135266304, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-1975804419_1, offset: 0, srvID: 16ce281d-d824-46ac-bacd-0b30090057ef, blockid: BP-2038422651-10.142.0.8-1682575742665:blk_1073741838_1014, duration: 486374151
2023-04-27 06:10:31,731 INFO org.apache.hadoop.hdfs.server.datanode.DataNode.clienttrace: src: /127.0.0.1:50010, dest: /127.0.0.1:44624, bytes: 121896744, op: HDFS_READ, cliID: DFSClient_NONMAPREDUCE_-1975804419_1, offset: 0, srvID: 16ce281d-d824-46ac-bacd-0b30090057ef, blockid: BP-2038422651-10.142.0.8-1682575742665:blk_1073741839_1015, duration: 549612149
